search_id,result_id,position,result_type,relevance_score
27,1166,9,product,0.57
28,1167,1,product,0.68
28,1168,2,product,0.75
28,1169,3,product,0.92
28,1170,4,product,0.87
28,1171,5,product,0.71
28,1172,6,product,0.86
29,1173,1,product,0.71
29,1174,2,product,0.88
29,1175,3,product,0.84
29,1176,4,product,0.44
29,1177,5,product,0.72
29,1178,6,product,0.86
29,1179,7,product,0.83
29,1180,8,product,0.66
29,1181,9,product,0.51
29,1182,10,product,0.54
30,1183,1,product,0.53
30,1184,2,product,0.75
30,1185,3,product,0.76
30,1186,4,product,0.52
30,1187,5,product,0.73
30,1188,6,product,0.48
30,1189,7,product,0.58
30,1190,8,product,0.64
30,1191,9,product,0.51
30,1192,10,product,0.62
31,1193,1,product,0.64
31,1194,2,category,0.74
31,1195,3,product,0.91
31,1196,4,product,0.58
31,1197,5,product,0.54
31,1198,6,product,0.41
31,1199,7,product,0.59
31,1200,8,product,0.82
32,1201,1,product,0.62
32,1202,2,product,0.78
32,1203,3,product,0.87
32,1204,4,product,0.54
32,1205,5,product,0.48
32,1206,6,category,0.66
32,1207,7,category,0.65
32,1208,8,product,0.8
32,1209,9,product,0.8
32,1210,10,product,0.79
33,1211,1,category,0.71
33,1212,2,product,0.89
33,1213,3,product,0.89
33,1214,4,product,0.66
33,1215,5,product,0.72
33,1216,6,product,0.68
33,1217,7,product,0.85
33,1218,8,product,0.51
33,1219,9,product,0.82
33,1220,10,product,0.84
34,1221,1,product,0.48
35,1222,1,product,0.49
35,1223,2,product,0.85
35,1224,3,product,0.93
35,1225,4,product,0.76
35,1226,5,product,0.6
35,1227,6,product,0.63
35,1228,7,product,0.86
35,1229,8,product,0.58
35,1230,9,category,0.86
36,1231,1,product,0.55
36,1232,2,product,0.71
36,1233,3,product,0.9
36,1234,4,product,0.72
36,1235,5,product,0.69
36,1236,6,product,0.78
36,1237,7,product,0.46
36,1238,8,product,0.43
36,1239,9,product,0.5
36,1240,10,product,0.82
37,1241,1,product,0.72
37,1242,2,product,0.89
37,1243,3,product,0.91
37,1244,4,product,0.57
37,1245,5,product,0.68
37,1246,6,product,0.53
38,1247,1,product,0.57
38,1248,2,product,0.83
38,1249,3,product,0.92
38,1250,4,product,0.54
38,1251,5,category,0.41
39,1252,1,product,0.62
39,1253,2,product,0.86
39,1254,3,product,0.83
39,1255,4,product,0.64
39,1256,5,product,0.78
39,1257,6,category,0.71
39,1258,7,category,0.66
40,1259,1,product,0.53
40,1260,2,category,0.73
41,1261,1,product,0.65
41,1262,2,product,0.82
41,1263,3,product,0.82
41,1264,4,product,0.46
41,1265,5,product,0.72
41,1266,6,product,0.82
41,1267,7,product,0.86
41,1268,8,product,0.57
41,1269,9,product,0.5
41,1270,10,product,0.51
42,1271,1,product,0.67
42,1272,2,product,0.7
42,1273,3,product,0.74
42,1274,4,category,0.4
42,1275,5,product,0.67
42,1276,6,product,0.47
42,1277,7,product,0.41
42,1278,8,product,0.5
42,1279,9,product,0.56
42,1280,10,product,0.75
43,1281,1,product,0.57
43,1282,2,product,0.83
43,1283,3,product,0.71
43,1284,4,product,0.57
43,1285,5,product,0.73
43,1286,6,product,0.65
43,1287,7,category,0.51
44,1288,1,product,0.66
44,1289,2,product,0.69
44,1290,3,product,0.78
44,1291,4,product,0.66
44,1292,5,product,0.67
44,1293,6,product,0.57
45,1294,1,product,0.56
45,1295,2,product,0.74
45,1296,3,product,0.94
45,1297,4,product,0.85
45,1298,5,product,0.73
45,1299,6,product,0.61
45,1300,7,product,0.61
45,1301,8,category,0.44
45,1302,9,product,0.76
46,1303,1,product,0.71
46,1304,2,product,0.69
46,1305,3,product,0.73
46,1306,4,product,0.47
46,1307,5,category,0.44
46,1308,6,product,0.7
46,1309,7,product,0.67
46,1310,8,category,0.73
46,1311,9,category,0.71
46,1312,10,category,0.56
47,1313,1,product,0.53
47,1314,2,product,0.67
47,1315,3,product,0.74
47,1316,4,product,0.43
47,1317,5,category,0.44
47,1318,6,product,0.81
47,1319,7,product,0.64
47,1320,8,product,0.67
47,1321,9,product,0.83
47,1322,10,product,0.79
48,1323,1,product,0.59
48,1324,2,product,0.72
48,1325,3,product,0.78
48,1326,4,product,0.48
48,1327,5,product,0.54
49,1328,1,product,0.63
49,1329,2,product,0.87
49,1330,3,category,0.92
49,1331,4,product,0.56
49,1332,5,product,0.47
49,1333,6,product,0.86
49,1334,7,product,0.59
49,1335,8,product,0.85
49,1336,9,product,0.58
50,1337,1,product,0.55
50,1338,2,category,0.71
50,1339,3,product,0.8
50,1340,4,product,0.47
50,1341,5,product,0.81
51,1342,1,product,0.55
51,1343,2,product,0.9
51,1344,3,product,0.89
51,1345,4,product,0.61
51,1346,5,product,0.72
51,1347,6,product,0.61
51,1348,7,product,0.76
51,1349,8,product,0.66
51,1350,9,product,0.79
52,1351,1,product,0.67
52,1352,2,product,0.73
52,1353,3,product,0.91
52,1354,4,product,0.45
52,1355,5,product,0.81
52,1356,6,product,0.77
53,1357,1,category,0.51
53,1358,2,product,0.76
53,1359,3,product,0.93
53,1360,4,product,0.71
53,1361,5,product,0.47
53,1362,6,product,0.8
53,1363,7,product,0.47
54,1364,1,product,0.61
54,1365,2,product,0.88
54,1366,3,product,0.69
54,1367,4,product,0.71
54,1368,5,product,0.43
54,1369,6,product,0.64
54,1370,7,product,0.7
54,1371,8,product,0.74
54,1372,9,product,0.4
54,1373,10,product,0.67
55,1374,1,product,0.46
55,1375,2,product,0.76
55,1376,3,product,0.76
55,1377,4,product,0.52
55,1378,5,product,0.45
55,1379,6,product,0.76
55,1380,7,product,0.57
55,1381,8,product,0.71
56,1382,1,product,0.46
56,1383,2,category,0.89
56,1384,3,product,0.74
56,1385,4,product,0.59
56,1386,5,product,0.63
56,1387,6,product,0.71
56,1388,7,product,0.81
56,1389,8,product,0.71
57,1390,1,product,0.58
57,1391,2,product,0.93
57,1392,3,product,0.89
57,1393,4,product,0.44
57,1394,5,product,0.79
57,1395,6,product,0.55
58,1396,1,product,0.57
58,1397,2,product,0.92
58,1398,3,product,0.78
58,1399,4,product,0.78
58,1400,5,product,0.72
58,1401,6,product,0.65
58,1402,7,product,0.48
59,1403,1,product,0.57
59,1404,2,product,0.78
59,1405,3,product,0.69
59,1406,4,product,0.55
59,1407,5,product,0.86
59,1408,6,product,0.49
59,1409,7,product,0.84
59,1410,8,product,0.77
59,1411,9,product,0.5
59,1412,10,category,0.73
60,1413,1,product,0.57
60,1414,2,product,0.85
60,1415,3,product,0.75
60,1416,4,product,0.43
60,1417,5,category,0.83
60,1418,6,category,0.74
60,1419,7,product,0.71
60,1420,8,product,0.64
60,1421,9,product,0.5
60,1422,10,product,0.78
61,1423,1,product,0.72
61,1424,2,product,0.81
61,1425,3,product,0.9
61,1426,4,product,0.87
61,1427,5,product,0.62
61,1428,6,category,0.57
61,1429,7,product,0.77
61,1430,8,category,0.49
62,1431,1,product,0.54
62,1432,2,category,0.75
62,1433,3,product,0.92
62,1434,4,product,0.52
62,1435,5,product,0.66
62,1436,6,product,0.55
63,1437,1,category,0.47
63,1438,2,product,0.88
63,1439,3,product,0.71
63,1440,4,product,0.7
63,1441,5,product,0.83
64,1442,1,product,0.64
64,1443,2,product,0.77
64,1444,3,product,0.75
64,1445,4,product,0.81
64,1446,5,product,0.87
65,1447,1,product,0.52
65,1448,2,product,0.68
65,1449,3,product,0.77
65,1450,4,category,0.52
65,1451,5,product,0.48
67,1452,1,product,0.71
67,1453,2,product,0.76
67,1454,3,category,0.8
67,1455,4,product,0.71
67,1456,5,product,0.66
67,1457,6,category,0.61
67,1458,7,product,0.75
67,1459,8,product,0.58
68,1460,1,category,0.53
68,1461,2,product,0.85
68,1462,3,product,0.94
68,1463,4,product,0.78
68,1464,5,product,0.85
68,1465,6,product,0.5
68,1466,7,product,0.64
68,1467,8,product,0.47
68,1468,9,product,0.63
69,1469,1,product,0.68
69,1470,2,product,0.8
69,1471,3,product,0.8
69,1472,4,product,0.63
69,1473,5,product,0.56
69,1474,6,product,0.6
69,1475,7,category,0.83
69,1476,8,product,0.7
69,1477,9,product,0.53
69,1478,10,product,0.87
70,1479,1,product,0.62
71,1480,1,product,0.48
71,1481,2,product,0.74
71,1482,3,product,0.86
71,1483,4,category,0.77
71,1484,5,product,0.82
71,1485,6,product,0.43
71,1486,7,product,0.5
71,1487,8,product,0.72
71,1488,9,product,0.55
71,1489,10,product,0.84
72,1490,1,product,0.71
72,1491,2,category,0.74
72,1492,3,product,0.94
72,1493,4,product,0.74
72,1494,5,product,0.63
72,1495,6,category,0.67
73,1496,1,product,0.71
73,1497,2,product,0.74
73,1498,3,product,0.86
73,1499,4,product,0.61
73,1500,5,product,0.63
73,1501,6,category,0.66
73,1502,7,product,0.73
74,1503,1,product,0.48
74,1504,2,product,0.79
74,1505,3,category,0.69
74,1506,4,product,0.87
74,1507,5,category,0.71
75,1508,1,product,0.51
75,1509,2,product,0.91
75,1510,3,product,0.93
75,1511,4,category,0.8
75,1512,5,product,0.42
75,1513,6,product,0.78
75,1514,7,category,0.76
75,1515,8,product,0.54
75,1516,9,product,0.54
76,1517,1,product,0.65
76,1518,2,product,0.87
76,1519,3,product,0.75
76,1520,4,product,0.72
76,1521,5,product,0.69
76,1522,6,product,0.59
78,1523,1,product,0.71
78,1524,2,product,0.87
78,1525,3,product,0.85
78,1526,4,product,0.43
78,1527,5,product,0.55
78,1528,6,category,0.64
78,1529,7,product,0.74
79,1530,1,product,0.51
79,1531,2,product,0.7
79,1532,3,product,0.83
79,1533,4,product,0.66
79,1534,5,product,0.66
79,1535,6,product,0.5
80,1536,1,product,0.48
80,1537,2,product,0.92
80,1538,3,product,0.81
80,1539,4,product,0.81
80,1540,5,product,0.73
80,1541,6,category,0.63
80,1542,7,product,0.61
80,1543,8,product,0.46
80,1544,9,product,0.67
81,1545,1,product,0.47
81,1546,2,product,0.86
81,1547,3,category,0.67
81,1548,4,product,0.87
81,1549,5,product,0.54
81,1550,6,product,0.47
81,1551,7,category,0.75
81,1552,8,category,0.58
81,1553,9,category,0.62
82,1554,1,category,0.48
82,1555,2,product,0.77
82,1556,3,product,0.94
82,1557,4,category,0.76
82,1558,5,product,0.62
82,1559,6,product,0.6
82,1560,7,product,0.51
83,1561,1,product,0.56
83,1562,2,product,0.92
83,1563,3,product,0.71
83,1564,4,product,0.42
83,1565,5,product,0.74
83,1566,6,product,0.76
83,1567,7,product,0.51
83,1568,8,product,0.81
83,1569,9,product,0.64
83,1570,10,product,0.79
84,1571,1,product,0.72
84,1572,2,product,0.77
84,1573,3,product,0.82
84,1574,4,product,0.75
84,1575,5,product,0.73
84,1576,6,product,0.42
85,1577,1,product,0.55
85,1578,2,product,0.79
85,1579,3,product,0.74
85,1580,4,category,0.79
85,1581,5,category,0.67
85,1582,6,product,0.67
85,1583,7,product,0.52
86,1584,1,product,0.63
86,1585,2,product,0.91
86,1586,3,product,0.88
86,1587,4,product,0.67
86,1588,5,product,0.82
86,1589,6,product,0.86
86,1590,7,category,0.85
86,1591,8,category,0.46
87,1592,1,product,0.66
87,1593,2,product,0.81
87,1594,3,product,0.73
87,1595,4,product,0.64
87,1596,5,product,0.87
87,1597,6,category,0.8
87,1598,7,product,0.58
88,1599,1,product,0.54
88,1600,2,product,0.9
88,1601,3,product,0.85
88,1602,4,product,0.52
88,1603,5,product,0.86
88,1604,6,product,0.64
89,1605,1,product,0.71
89,1606,2,product,0.88
89,1607,3,product,0.9
89,1608,4,product,0.74
89,1609,5,product,0.64
90,1610,1,product,0.56
91,1611,1,product,0.63
91,1612,2,product,0.92
91,1613,3,product,0.68
91,1614,4,product,0.49
91,1615,5,product,0.79
91,1616,6,product,0.59
91,1617,7,product,0.59
91,1618,8,product,0.88
91,1619,9,product,0.73
91,1620,10,category,0.71
93,1621,1,product,0.62
93,1622,2,category,0.94
93,1623,3,category,0.92
93,1624,4,category,0.51
93,1625,5,product,0.73
93,1626,6,category,0.53
93,1627,7,product,0.73
93,1628,8,product,0.66
94,1629,1,product,0.61
94,1630,2,product,0.86
94,1631,3,product,0.67
94,1632,4,product,0.52
94,1633,5,category,0.59
94,1634,6,product,0.56
95,1635,1,product,0.46
95,1636,2,product,0.9
95,1637,3,category,0.88
95,1638,4,product,0.59
95,1639,5,product,0.41
95,1640,6,product,0.88
95,1641,7,category,0.57
96,1642,1,product,0.47
96,1643,2,product,0.86
96,1644,3,product,0.87
96,1645,4,product,0.45
96,1646,5,product,0.55
97,1647,1,product,0.6
97,1648,2,product,0.68
97,1649,3,product,0.82
97,1650,4,category,0.78
97,1651,5,product,0.41
97,1652,6,product,0.77
97,1653,7,category,0.67
97,1654,8,product,0.52
99,1655,1,category,0.55
99,1656,2,product,0.87
99,1657,3,product,0.84
99,1658,4,product,0.47
99,1659,5,product,0.59
100,1660,1,product,0.71
100,1661,2,category,0.74
100,1662,3,product,0.94
100,1663,4,product,0.73
100,1664,5,product,0.68
100,1665,6,product,0.58
100,1666,7,product,0.59
100,1667,8,product,0.67
100,1668,9,product,0.66
101,1669,1,product,0.67
102,1670,1,product,0.49
102,1671,2,product,0.76
102,1672,3,product,0.83
102,1673,4,category,0.66
102,1674,5,product,0.82
102,1675,6,category,0.42
102,1676,7,product,0.74
102,1677,8,category,0.69
102,1678,9,product,0.45
102,1679,10,product,0.72
103,1680,1,product,0.48
103,1681,2,product,0.72
103,1682,3,product,0.82
103,1683,4,product,0.51
103,1684,5,product,0.62
103,1685,6,product,0.73
103,1686,7,product,0.88
103,1687,8,category,0.54
104,1688,1,product,0.57
104,1689,2,product,0.79
104,1690,3,product,0.78
104,1691,4,product,0.55
104,1692,5,product,0.79
104,1693,6,product,0.81
104,1694,7,product,0.73
105,1695,1,product,0.5
105,1696,2,product,0.77
105,1697,3,product,0.91
105,1698,4,product,0.61
105,1699,5,product,0.5
105,1700,6,product,0.74
106,1701,1,category,0.52
106,1702,2,product,0.81
106,1703,3,product,0.83
106,1704,4,product,0.68
106,1705,5,product,0.81
107,1706,1,product,0.48
107,1707,2,product,0.7
107,1708,3,product,0.8
107,1709,4,product,0.47
107,1710,5,product,0.49
107,1711,6,product,0.73
107,1712,7,product,0.88
108,1713,1,product,0.58
108,1714,2,product,0.77
108,1715,3,product,0.85
108,1716,4,product,0.64
108,1717,5,product,0.61
109,1718,1,product,0.5
109,1719,2,product,0.87
109,1720,3,product,0.81
109,1721,4,product,0.45
109,1722,5,product,0.8
109,1723,6,product,0.79
109,1724,7,product,0.75
110,1725,1,product,0.66
110,1726,2,product,0.89
110,1727,3,product,0.76
110,1728,4,product,0.7
110,1729,5,product,0.47
111,1730,1,product,0.6
111,1731,2,product,0.86
111,1732,3,category,0.73
111,1733,4,product,0.87
111,1734,5,category,0.45
111,1735,6,category,0.78
111,1736,7,category,0.88
111,1737,8,category,0.46
111,1738,9,product,0.52
112,1739,1,product,0.56
112,1740,2,category,0.86
112,1741,3,product,0.79
112,1742,4,category,0.68
112,1743,5,product,0.81
113,1744,1,category,0.49
113,1745,2,category,0.89
113,1746,3,product,0.88
113,1747,4,product,0.7
113,1748,5,category,0.41
113,1749,6,product,0.48
113,1750,7,product,0.88
113,1751,8,category,0.88
113,1752,9,product,0.82
114,1753,1,product,0.53
114,1754,2,product,0.72
114,1755,3,product,0.86
114,1756,4,product,0.63
114,1757,5,product,0.51
114,1758,6,product,0.4
114,1759,7,category,0.79
114,1760,8,product,0.6
114,1761,9,product,0.43
114,1762,10,product,0.75
115,1763,1,product,0.62
115,1764,2,product,0.67
115,1765,3,product,0.83
115,1766,4,product,0.57
115,1767,5,category,0.76
115,1768,6,product,0.7
116,1769,1,product,0.61
116,1770,2,product,0.94
116,1771,3,product,0.69
116,1772,4,product,0.44
116,1773,5,product,0.69
117,1774,1,product,0.5
117,1775,2,product,0.84
117,1776,3,product,0.89
117,1777,4,product,0.59
117,1778,5,product,0.71
117,1779,6,product,0.83
117,1780,7,product,0.57
117,1781,8,product,0.59
117,1782,9,product,0.6
118,1783,1,product,0.45
118,1784,2,category,0.93
118,1785,3,product,0.77
118,1786,4,product,0.74
118,1787,5,product,0.6
119,1788,1,product,0.71
119,1789,2,product,0.75
119,1790,3,product,0.88
119,1791,4,product,0.71
119,1792,5,category,0.61
119,1793,6,product,0.51
120,1794,1,product,0.49
120,1795,2,product,0.8
120,1796,3,product,0.81
120,1797,4,product,0.52
120,1798,5,category,0.76
120,1799,6,product,0.75
120,1800,7,product,0.83
120,1801,8,product,0.61
120,1802,9,category,0.53
120,1803,10,product,0.7
121,1804,1,product,0.69
121,1805,2,product,0.68
121,1806,3,category,0.65
121,1807,4,product,0.41
121,1808,5,category,0.57
122,1809,1,product,0.65
122,1810,2,product,0.75
122,1811,3,product,0.87
122,1812,4,product,0.44
122,1813,5,category,0.64
122,1814,6,product,0.49
122,1815,7,category,0.87
122,1816,8,product,0.43
122,1817,9,product,0.54
122,1818,10,product,0.56
123,1819,1,product,0.65
123,1820,2,category,0.76
123,1821,3,product,0.95
123,1822,4,product,0.75
123,1823,5,product,0.78
123,1824,6,product,0.85
123,1825,7,product,0.66
124,1826,1,product,0.48
124,1827,2,product,0.72
124,1828,3,category,0.67
124,1829,4,product,0.74
124,1830,5,category,0.84
124,1831,6,product,0.65
124,1832,7,category,0.58
125,1833,1,product,0.47
125,1834,2,category,0.78
125,1835,3,product,0.72
125,1836,4,product,0.55
125,1837,5,product,0.74
125,1838,6,product,0.55
125,1839,7,product,0.44
125,1840,8,product,0.77
127,1841,1,category,0.58
127,1842,2,product,0.68
127,1843,3,product,0.74
127,1844,4,product,0.69
127,1845,5,product,0.81
127,1846,6,category,0.74
127,1847,7,product,0.59
128,1848,1,product,0.68
128,1849,2,product,0.82
128,1850,3,product,0.68
128,1851,4,product,0.46
128,1852,5,product,0.77
128,1853,6,product,0.5
128,1854,7,category,0.73
128,1855,8,product,0.44
129,1856,1,category,0.48
129,1857,2,category,0.67
129,1858,3,product,0.78
129,1859,4,product,0.64
129,1860,5,product,0.6
129,1861,6,product,0.84
129,1862,7,product,0.61
130,1863,1,product,0.47
130,1864,2,product,0.78
130,1865,3,product,0.89
130,1866,4,product,0.88
130,1867,5,product,0.41
131,1868,1,product,0.46
131,1869,2,product,0.66
131,1870,3,product,0.73
131,1871,4,product,0.63
131,1872,5,product,0.68
131,1873,6,product,0.48
132,1874,1,product,0.55
132,1875,2,product,0.9
132,1876,3,product,0.83
132,1877,4,category,0.73
132,1878,5,product,0.41
132,1879,6,product,0.85
132,1880,7,product,0.67
132,1881,8,category,0.87
133,1882,1,product,0.46
133,1883,2,product,0.75
133,1884,3,product,0.89
133,1885,4,product,0.49
133,1886,5,product,0.82
133,1887,6,product,0.47
134,1888,1,product,0.7
134,1889,2,product,0.68
134,1890,3,product,0.69
134,1891,4,product,0.86
134,1892,5,product,0.86
134,1893,6,category,0.48
134,1894,7,category,0.73
134,1895,8,product,0.78
134,1896,9,product,0.68
134,1897,10,product,0.55
135,1898,1,category,0.56
135,1899,2,product,0.94
135,1900,3,category,0.83
135,1901,4,product,0.86
135,1902,5,category,0.67
135,1903,6,product,0.47
135,1904,7,category,0.51
135,1905,8,category,0.48
135,1906,9,product,0.44
136,1907,1,product,0.54
136,1908,2,product,0.87
136,1909,3,product,0.78
136,1910,4,product,0.48
136,1911,5,product,0.82
137,1912,1,product,0.67
137,1913,2,product,0.66
137,1914,3,product,0.68
137,1915,4,product,0.83
137,1916,5,category,0.44
138,1917,1,product,0.49
138,1918,2,product,0.71
138,1919,3,product,0.86
138,1920,4,product,0.75
138,1921,5,product,0.54
138,1922,6,product,0.42
138,1923,7,product,0.8
138,1924,8,product,0.57
140,1925,1,product,0.53
140,1926,2,product,0.8
140,1927,3,product,0.68
140,1928,4,category,0.49
140,1929,5,product,0.58
141,1930,1,product,0.6
141,1931,2,product,0.86
141,1932,3,product,0.85
141,1933,4,product,0.6
141,1934,5,product,0.51
141,1935,6,product,0.59
141,1936,7,product,0.86
142,1937,1,category,0.5
142,1938,2,product,0.94
142,1939,3,product,0.69
142,1940,4,product,0.87
142,1941,5,product,0.88
142,1942,6,product,0.8
142,1943,7,category,0.84
142,1944,8,product,0.43
143,1945,1,product,0.59
143,1946,2,product,0.77
143,1947,3,product,0.83
143,1948,4,category,0.85
143,1949,5,product,0.67
143,1950,6,product,0.54
143,1951,7,product,0.57
143,1952,8,product,0.58
143,1953,9,product,0.69
144,1954,1,product,0.64
144,1955,2,product,0.79
144,1956,3,product,0.76
144,1957,4,product,0.78
144,1958,5,category,0.8
144,1959,6,category,0.73
144,1960,7,product,0.51
145,1961,1,product,0.5
145,1962,2,product,0.9
145,1963,3,category,0.88
145,1964,4,product,0.79
145,1965,5,product,0.48
146,1966,1,product,0.68
146,1967,2,category,0.79
146,1968,3,product,0.86
146,1969,4,product,0.8
146,1970,5,product,0.7
146,1971,6,product,0.41
147,1972,1,product,0.65
147,1973,2,product,0.74
147,1974,3,product,0.7
147,1975,4,category,0.86
147,1976,5,product,0.71
147,1977,6,product,0.53
147,1978,7,product,0.41
148,1979,1,product,0.67
148,1980,2,product,0.94
148,1981,3,product,0.78
148,1982,4,product,0.57
148,1983,5,product,0.62
148,1984,6,product,0.8
148,1985,7,product,0.45
148,1986,8,product,0.72
148,1987,9,product,0.58
149,1988,1,product,0.68
149,1989,2,category,0.86
149,1990,3,product,0.74
149,1991,4,category,0.77
149,1992,5,product,0.79
149,1993,6,product,0.69
149,1994,7,product,0.73
150,1995,1,product,0.64
150,1996,2,product,0.71
150,1997,3,product,0.72
150,1998,4,category,0.78
150,1999,5,product,0.72
150,2000,6,product,0.81
150,2001,7,product,0.82
150,2002,8,product,0.45
150,2003,9,product,0.52
151,2004,1,product,0.65
151,2005,2,product,0.89
151,2006,3,product,0.73
151,2007,4,product,0.81
151,2008,5,product,0.82
151,2009,6,product,0.85
152,2010,1,category,0.49
152,2011,2,product,0.7
152,2012,3,category,0.75
152,2013,4,product,0.55
152,2014,5,product,0.62
152,2015,6,product,0.77
152,2016,7,product,0.48
152,2017,8,product,0.77
153,2018,1,category,0.65
153,2019,2,product,0.92
153,2020,3,product,0.81
153,2021,4,product,0.4
153,2022,5,category,0.51
153,2023,6,product,0.55
154,2024,1,product,0.59
154,2025,2,product,0.78
154,2026,3,category,0.69
154,2027,4,product,0.64
154,2028,5,category,0.48
154,2029,6,product,0.79
154,2030,7,category,0.51
154,2031,8,product,0.5
154,2032,9,product,0.64
154,2033,10,product,0.74
155,2034,1,product,0.68
155,2035,2,product,0.68
155,2036,3,product,0.69
155,2037,4,product,0.74
155,2038,5,product,0.73
155,2039,6,product,0.6
155,2040,7,product,0.65
155,2041,8,product,0.74
155,2042,9,product,0.83
155,2043,10,product,0.7
156,2044,1,product,0.55
156,2045,2,product,0.7
156,2046,3,product,0.92
156,2047,4,product,0.63
156,2048,5,product,0.41
156,2049,6,product,0.45
157,2050,1,category,0.57
157,2051,2,product,0.73
157,2052,3,category,0.89
157,2053,4,product,0.81
157,2054,5,product,0.72
157,2055,6,category,0.46
158,2056,1,product,0.48
158,2057,2,product,0.7
159,2058,1,category,0.65
159,2059,2,product,0.9
159,2060,3,product,0.92
159,2061,4,product,0.67
159,2062,5,product,0.69
159,2063,6,category,0.69
159,2064,7,product,0.82
159,2065,8,product,0.83
159,2066,9,category,0.63
159,2067,10,product,0.61
160,2068,1,product,0.59
160,2069,2,product,0.84
160,2070,3,product,0.87
160,2071,4,product,0.72
160,2072,5,product,0.47
160,2073,6,product,0.83
